moduleId/I, z_cm/D, r_cm/D, eta/D, phi/D, sensorSpacing_cm/D
50236, 21.327499, 21.972200, 0.860473, 0.785398, 0.259998
50237, 24.666901, 21.367800, 0.986448, 0.785398, 0.260000
50238, 29.476400, 21.972200, 1.103521, 0.785398, 0.259998
50239, 32.499001, 21.367800, 1.206319, 0.785398, 0.260000
50240, 37.420700, 21.972200, 1.302387, 0.785398, 0.259998
50241, 40.134399, 21.367800, 1.387830, 0.785398, 0.260000
50242, 45.165600, 21.972200, 1.468218, 0.785398, 0.259998
50243, 47.578201, 21.367800, 1.540626, 0.785398, 0.260000
50244, 52.716000, 21.972200, 1.609135, 0.785398, 0.259998
50245, 54.835098, 21.367800, 1.671558, 0.785398, 0.260000
50246, 60.076900, 21.972200, 1.730872, 0.785398, 0.259998
50247, 61.909801, 21.367800, 1.785473, 0.785398, 0.260000
50248, 67.252998, 21.972200, 1.837507, 0.785398, 0.259998
50249, 68.806900, 21.367800, 1.885848, 0.785398, 0.260000
50250, 74.249001, 21.972200, 1.932001, 0.785398, 0.259998
50251, 75.530800, 21.367800, 1.975236, 0.785398, 0.260000
50252, 81.069298, 21.972200, 2.016551, 0.785398, 0.259998
50253, 82.085899, 21.367800, 2.055554, 0.785398, 0.260000
50254, 87.718399, 21.972200, 2.092830, 0.785398, 0.259998
50255, 88.476501, 21.367800, 2.128272, 0.785398, 0.260000
50256, 94.200600, 21.972200, 2.162127, 0.785398, 0.259998
50257, 94.706703, 21.367800, 2.194537, 0.785398, 0.260000
50258, 100.519997, 21.972200, 2.225462, 0.785398, 0.259998
50259, 100.779999, 21.367800, 2.255256, 0.785398, 0.260000
50260, 106.681000, 21.972200, 2.283652, 0.785398, 0.259998
50261, 106.702003, 21.367800, 2.311180, 0.785398, 0.260000
50262, 112.686996, 21.972200, 2.337355, 0.785398, 0.259998
50300, -112.686996, 23.814800, -2.258437, 1.178097, 0.259998
50301, -106.702003, 23.210400, -2.230211, 1.178097, 0.260000
50302, -106.681000, 23.814800, -2.204915, 1.178097, 0.259998
50303, -100.780998, 23.210400, -2.174500, 1.178097, 0.260000
50304, -100.521004, 23.814800, -2.146952, 1.178097, 0.259998
50305, -94.707397, 23.210400, -2.114027, 1.178097, 0.260000
50306, -94.201401, 23.814800, -2.083883, 1.178097, 0.259998
50307, -88.477501, 23.210400, -2.048072, 1.178097, 0.260000
50308, -87.719597, 23.814800, -2.014922, 1.178097, 0.259998
50309, -82.087196, 23.210400, -1.975742, 1.178097, 0.260000
50310, -81.070702, 23.814800, -1.939068, 1.178097, 0.259998
50311, -75.532303, 23.210400, -1.895919, 1.178097, 0.260000
50312, -74.250702, 23.814800, -1.855066, 1.178097, 0.259998
50313, -68.808701, 23.210400, -1.807180, 1.178097, 0.260000
50314, -67.255096, 23.814800, -1.761300, 1.178097, 0.259998
50315, -61.911900, 23.210400, -1.707676, 1.178097, 0.260000
50316, -60.079300, 23.814800, -1.655655, 1.178097, 0.259998
50317, -54.837502, 23.210400, -1.594967, 1.178097, 0.260000
50318, -52.718700, 23.814800, -1.535313, 1.178097, 0.259998
50319, -47.581001, 23.210400, -1.465769, 1.178097, 0.260000
50320, -45.168598, 23.814800, -1.396442, 1.178097, 0.259998
50321, -40.137600, 23.210400, -1.315579, 1.178097, 0.260000
